Year,t2m_annual
1940,279.98148626450717
1941,280.5652743104721
1942,281.26577145436124
1943,282.32093498141546
1944,281.4497483541973
1945,281.9165645512272
1946,282.19459394556117
1947,282.10842069485835
1948,281.7723566188655
1949,282.78148023352776
1950,283.085221767928
1951,283.05455620045154
1952,282.1264088050615
1953,282.21582043898667
1954,281.54502641726765
1955,281.75395118705336
1956,281.1322936188595
1957,282.48166063346906
1958,282.59525144983684
1959,282.6835099386758
1960,282.74722084151244
1961,283.0731350629758
1962,281.3526209143534
1963,281.51203270802637
1964,281.61746195723265
1965,281.3612786129897
1966,282.7099815633953
1967,282.5878159678774
1968,282.1225877611915
1969,281.8242189600964
1970,282.0461135526603
1971,282.2716603993616
1972,282.0215806270224
1973,281.87269522288744
1974,282.66195843143555
1975,282.8677742864611
1976,281.83752919245586
1977,282.61448884782436
1978,281.4849182257537
1979,282.1135676275106
1980,281.2948701251066
1981,282.2253099050948
1982,282.66753452570345
1983,282.8215906001829
1984,281.8032719517382
1985,281.69931625189344
1986,281.9448905534815
1987,281.9524889309196
1988,282.77374657760134
1989,282.940126869944
1990,283.05124629630006
1991,282.0411876435945
1992,283.3320085830977
1993,282.8157017237854
1994,284.1115360089843
1995,282.92446075535923
1996,281.7519698034102
1997,282.8320428095912
1998,283.04135121116735
1999,282.9371682298699
2000,283.92061762618
2001,283.3371871342607
2002,283.8565144813894
2003,283.4310180128102
2004,282.677192851544
2005,282.36300142085213
2006,283.215491063527
2007,283.97787178235177
2008,283.714876638602
2009,283.7167719582068
2010,282.7423430163775
2011,283.7610082853456
2012,283.80023510849946
2013,283.5539039818161
2014,284.5644532815004
2015,284.17580075681025
2016,283.78001424119435
2017,283.8458224597713
2018,284.4377514061025
2019,284.53203492239976
2020,284.05124813003397
2021,283.46637980357616
2022,284.6097898203907
2023,284.6431446371558
