Year,tcw
1940,14.595735721696203
1941,14.719102148219164
1942,14.880506466211331
1943,15.13589689601795
1944,15.107289379879392
1945,15.2282346483863
1946,15.108230856539366
1947,15.703262679334856
1948,15.27672754932355
1949,15.030632320487125
1950,15.308199482613961
1951,16.003215191010053
1952,15.28266286056583
1953,15.394659112795303
1954,15.062051194024832
1955,15.25164819086984
1956,14.592366613191901
1957,15.706002917648156
1958,15.17323419052884
1959,15.531126384823873
1960,16.118342025850907
1961,15.498729363382179
1962,14.830919549981877
1963,16.19253868411037
1964,16.12461801387523
1965,15.129928910326115
1966,16.507062614428857
1967,16.020384136174158
1968,15.850950311099478
1969,15.570845196026855
1970,15.468826549179646
1971,15.786611219418859
1972,16.800788437850805
1973,15.3812255943705
1974,15.50519140636791
1975,16.067379043970686
1976,14.897034839603672
1977,15.620600927742817
1978,14.731152531470086
1979,15.486330502980376
1980,15.119640792603748
1981,15.411666981102837
1982,16.151929135083062
1983,15.24443423675159
1984,14.75530370325372
1985,15.538273664411847
1986,15.540719992251072
1987,16.153351260278363
1988,15.696069955107575
1989,15.848791808733658
1990,15.558686860176318
1991,15.48300761911046
1992,15.71866952901931
1993,15.419105687876687
1994,16.607443273465254
1995,15.454881467105714
1996,15.467013250153755
1997,15.686804710876578
1998,15.694378809758055
1999,16.35582129029923
2000,15.950208872159987
2001,15.958258380369005
2002,16.97366482775212
2003,15.467986514244242
2004,15.961392027992352
2005,15.472738729479609
2006,15.89830861166146
2007,15.927005138822636
2008,16.382654720250006
2009,16.468997256505435
2010,16.186161925711463
2011,15.86156671872087
2012,16.379112541333157
2013,16.476831739996456
2014,17.83770730347226
2015,16.637111736357234
2016,16.8674347075959
2017,16.314490508890838
2018,18.1299351600584
2019,17.362732704606106
2020,16.74460254021848
2021,15.815944960672562
2022,17.018226477594844
2023,17.71351332031387
