Day_of_year,tcw
1,10.17779820352538
2,9.358315226359245
3,9.446184914336246
4,8.408927298203492
5,8.410053860122325
6,8.826614300613729
7,8.976119954973205
8,8.6472955593696
9,8.53793716665007
10,8.851496537730222
11,9.906208908048448
12,8.606097544971695
13,8.40157593682281
14,8.576278367409339
15,8.804539687205585
16,7.795261569002758
17,7.978140577699382
18,8.14941146292238
19,9.023591127456765
20,9.194700523930738
21,8.915327802071205
22,9.313296812416144
23,10.001084348890519
24,9.944236383071312
25,8.835848566303904
26,8.221578319663674
27,8.251061872743135
28,8.600844510294431
29,8.95865787339007
30,8.511864281515786
31,8.46789371895994
32,8.49559975872692
33,8.863068796121157
34,8.225654084050756
35,7.876936198299766
36,8.659942332190328
37,8.728289844643358
38,8.830431845554937
39,8.71942251584469
40,9.292251358888088
41,9.569794128287553
42,8.829563835135891
43,8.977585121607172
44,8.980977232639606
45,9.063187406817054
46,8.417273812823826
47,8.451454122963115
48,7.871922235916823
49,8.151149801209444
50,9.05824731985728
51,8.34740993793194
52,7.839697348969616
53,8.379842908362036
54,8.149258406243773
55,8.661982395710089
56,8.731553380509725
57,9.10717522262508
58,8.150004133098147
59,7.899454679040827
60,9.292559091046325
61,9.58703997583471
62,9.484845250488345
63,9.30287985210745
64,9.159435254692012
65,9.553949433514193
66,9.89624630732414
67,9.621608404827931
68,10.049983381613705
69,9.416187540078775
70,9.48053211065439
71,9.152228983650861
72,10.0167291139945
73,10.125998978737076
74,10.49707908569238
75,10.538423874439335
76,9.749708996063625
77,10.066968769904898
78,10.098354319018176
79,10.009750756035503
80,10.145801244434129
81,10.59071530990111
82,11.10753275227343
83,11.322801743613352
84,11.877757824588029
85,12.283618448330806
86,11.586764788220071
87,10.977875261021477
88,11.25887586133093
89,11.469839209572882
90,10.99099883340363
91,12.204134767483444
92,12.704837691070688
93,12.60936319318592
94,12.858395351915279
95,12.996647498138948
96,12.611240264696951
97,12.504990424661553
98,12.369761736168819
99,12.245180976900281
100,11.861166955670738
101,11.658548467994757
102,11.8820138943501
103,11.960815141139886
104,10.839824612731606
105,11.179280420450063
106,12.029116957004254
107,11.289370423911981
108,11.815117680720794
109,11.52370858763018
110,11.551739152680094
111,12.593597423520862
112,12.563533877918863
113,12.91292336252
114,14.039942791115523
115,12.830408815237194
116,13.530962394241595
117,14.2874039861891
118,14.67785365479624
119,14.105635506067523
120,14.802268322512633
121,16.599867619816056
122,15.736382685767287
123,15.059555181682613
124,15.807893669095813
125,16.400721671438628
126,16.28953573357346
127,15.59405975219531
128,16.25412070934589
129,15.961073006116427
130,16.44497824204274
131,16.974858969908492
132,17.522816143280423
133,17.77530946283259
134,16.898205429060845
135,16.762859094244803
136,17.05311582842444
137,16.86877268685235
138,17.99846989721315
139,18.557090412042086
140,18.874652038068852
141,18.421444905109897
142,18.4523451193785
143,17.873534209911643
144,18.23656432485988
145,17.403022027627014
146,17.818637300148986
147,17.933495790938025
148,17.513416838034605
149,18.56049127660246
150,18.329547958292512
151,19.541910503257032
152,19.778662419930484
153,19.494888929220348
154,19.588997871040284
155,20.87445676021087
156,20.945142321708875
157,20.59668310198009
158,20.587893870753096
159,21.620404774103406
160,20.64442332341121
161,21.45306215693808
162,22.274483631003612
163,22.36551403224978
164,22.394481425815158
165,21.33556412020301
166,21.104096065423427
167,21.05946369578696
168,20.92709352460682
169,19.91543004451654
170,20.488589567200748
171,22.06496713181846
172,23.566015740745094
173,24.02650567731287
174,23.929352981208737
175,22.56188130337968
176,22.363733977945447
177,22.261703937074056
178,23.162953038500927
179,23.137390127752578
180,22.766193975953975
181,22.31982892517351
182,22.680145022400428
183,23.97792818525918
184,23.96698704417954
185,23.77945812502478
186,24.908578284989055
187,24.124985228644473
188,23.714716236407934
189,23.090413065038174
190,23.243684679830174
191,24.535039317302214
192,24.7477364262964
193,25.411097951220658
194,25.20418262563201
195,26.273041406452144
196,25.513241577963537
197,24.93654179776836
198,25.41604386109572
199,25.587420131813765
200,25.555201683696513
201,23.925975131173416
202,24.153528799562373
203,24.09202622715225
204,24.049150559025943
205,25.63426397193192
206,25.24323729735155
207,24.355526177495967
208,23.641760339492407
209,25.240113763727695
210,25.324812142461784
211,24.811752410627836
212,25.970276173159604
213,24.85432264213888
214,24.776292826171623
215,25.74346989851732
216,26.19889270179292
217,25.301249080234097
218,25.23451012423915
219,25.725657401125655
220,26.07037220490285
221,24.78948351786687
222,24.91740770584498
223,24.48840455764379
224,24.597585055359406
225,24.152953954028266
226,23.717486424731394
227,24.099375651432915
228,24.848632335662845
229,25.942003985347917
230,24.439339360620224
231,23.619694022643262
232,24.235385735829666
233,24.64521459921813
234,23.851291610848197
235,23.454981187673717
236,24.57584058321439
237,24.32646091738318
238,23.552399094899492
239,24.444020382970827
240,25.060860712915407
241,23.04183266550048
242,22.413221039731283
243,22.344938112731665
244,21.54305900019459
245,22.269835675883503
246,22.52812670846271
247,22.022013815040264
248,20.627453576601468
249,20.393292949953644
250,20.257321588402124
251,20.375750463436813
252,21.30089783342475
253,21.384764241357136
254,20.819212404071777
255,21.138003497653532
256,20.90289925958356
257,20.51858427911742
258,20.273137736116723
259,20.09706522419921
260,19.604337585889375
261,20.18867314901107
262,20.507676030020423
263,20.429721542505114
264,20.60813869451865
265,20.970657819764224
266,20.80494978325999
267,20.856861897003952
268,20.00899213888706
269,20.468008985274874
270,19.87642186319726
271,19.136995374239408
272,18.369474644946234
273,19.768120160062086
274,20.784773164732837
275,19.48832264965416
276,17.62265131330898
277,17.934149872543465
278,18.493171603455504
279,18.81363945414877
280,19.41110128622789
281,18.513013610269265
282,16.604692953875944
283,17.172522124266017
284,17.43569082643232
285,18.627070339724547
286,16.654329822817417
287,16.268329173275554
288,16.73788759851048
289,16.02016200265314
290,16.658765691773503
291,15.464840236484497
292,15.19848226889586
293,15.761383727880625
294,15.445504963296088
295,14.207961582933736
296,13.820753159074702
297,12.873254745230719
298,13.324499534337946
299,14.08534924556047
300,13.221851300785683
301,14.289557816432074
302,14.830040632965218
303,14.8050986316469
304,13.573373863228367
305,13.262019961511983
306,13.357348504229487
307,14.369025690535198
308,13.861512780189514
309,14.22417245441013
310,14.36326815226139
311,12.460989753812804
312,12.170227055264336
313,13.29001647244152
314,13.80627369126703
315,12.775370465792143
316,12.126132182178335
317,13.205514076020982
318,12.92979619401133
319,12.163934805250575
320,12.84581602781247
321,12.090329490563809
322,11.07666890458164
323,10.716067847227437
324,10.721136155495277
325,10.90082818076142
326,11.329854517105295
327,11.008376295546181
328,10.755211950978664
329,11.01443829414172
330,11.223141364765983
331,11.212372736849337
332,10.702974916115783
333,9.60636958301577
334,9.789283769762415
335,10.160859137518795
336,10.412853533080499
337,10.156836317339515
338,9.612380299608931
339,9.433490908247794
340,8.754213197007138
341,9.706381350297193
342,10.586244790778203
343,11.118612666313465
344,10.659348910690376
345,10.14544470432477
346,8.929317243893943
347,9.02669946515662
348,10.037469866336922
349,9.524824003684216
350,9.865323834541515
351,10.320642515940543
352,11.148672599873988
353,11.214031492135462
354,10.432584507241208
355,10.59460899615899
356,10.045109695552757
357,9.264132933840791
358,9.420958749453227
359,9.912158849300484
360,9.528361000464514
361,8.96224399473932
362,9.645032821557463
363,9.36018476058275
364,8.745384432923082
365,9.633536011133438
